"Designator","Quantity","Manufacturer","Manufacturer Part Number","Description","Package","Value","Type","Global Sourcing"
"C1","1","TDK","C2012X5R1E106M125AB","10uF Cap","0805","10uF","Capacitor",""
"C2,C3,C4,C5,C6,C16,C17,C18,C19,C20,C21","11","Vishay / Vitramon","GA0805Y104KBBBT31G","100nF Cap","0805","100nF","Capacitor",""
"C7","1","KEMET","C0805X103JCRAC3316","10nF Cap","0805","10nF","Capacitor",""
"C8,C9,C11,C12","4","KEMET","C0805X105J5RACAUTO","1uF Cap","0805","1uF","Capacitor",""
"C13","1","Vishay / Vitramon","GA0805Y104KBBBT31G","100nF Cap","0805","100n","Capacitor",""
"C14,C15","2","KEMET","C0805C100KDTACTU","10pF Cap","0805","10p","Capacitor",""
"D1","1","Kingbright","APT2012SURCK","Red LED","0805","RED","Diode",""
"FB1","1","Murata Electronics","BLM21AG102SN1D","Ferrite Bead","0805","120R","Ferrite",""
"J1","1","GCT","USB4105-GF-A","USB-C Receptacle","USB_C_16P","USB_C","Connector","Yes"
"J2","1","Würth Elektronik","61300411121","Pin Header 1x4","2.54mm","PinHeader","Connector","Yes"
"J4,J5,J6","3","CUI Devices","SJ-3523-SMT-TR","3.5mm Audio Jack","SJ-3523","AudioJack3","Connector","Yes"
"R1,R3,R4","3","Susumu","RR1220P-103-D","10k Resistor","0805","10k","Resistor",""
"R2","1","YAGEO","RC0805JR-071K5L","1.5k Resistor","0805","1k5","Resistor",""
"R8,R9","2","YAGEO","RC0402JR-074K7L","5.1k Resistor","0402","5k1","Resistor",""
"R11,R12,R14","3","Susumu","RG2012L-332-L-T05","3.3k Resistor","0805","3.3k","Resistor",""
"SW1","1","C&K","JS102011SAQN","SPDT Switch","SMD","SW_SPDT","Switch",""
"U1","1","STMicroelectronics","USBLC6-2SC6","USB ESD Suppressor","SOT-23-6","USBLC6-2SC6","IC",""
"U2","1","STMicroelectronics","STM32F103C8T6","STM32 MCU","LQFP-48","STM32F103C8T6","IC",""
"U3,U4,U5","3","Texas Instruments","INA333AIDGKR","Instrumentation Amplifier","VSSOP-8","INA333","IC","Yes"
"U6","1","Microchip Technology","MIC5504-3.3YM5-TR","LDO Regulator","SOT-23-5","3.3V","IC",""
"VR1,VR2,VR3","3","Vishay / Sfernice","TS53YJ501MR10","Potentiometer 500Ω","TH","500Ω","Potentiometer","Yes"
"Y1","1","EPSON","TSX-3225 16.0000MF10U-B0","16MHz Crystal","3225","16MHz","Crystal",""
