Designator,Mid X,Mid Y,Layer,Rotation
C1,173.2500,-79.5000,Top,-90.0000
C2,167.2500,-64.0000,Top,90.0000
C3,175.2500,-64.0375,Top,90.0000
C4,170.0000,-64.0000,Top,90.0000
C5,172.7500,-64.0000,Top,90.0000
C6,178.0000,-63.9625,Top,90.0000
C7,169.9500,-68.2000,Top,180.0000
C8,169.9875,-70.4500,Top,180.0000
C9,154.6824,-63.7500,Top,90.0000
C11,151.0000,-59.9000,Top,0.0000
C12,164.7500,-64.0000,Top,90.0000
C13,188.0000,-71.7500,Top,0.0000
C14,187.5000,-80.2500,Top,-90.0000
C15,184.7500,-83.5000,Top,0.0000
C16,182.5000,-58.2500,Top,0.0000
C17,191.1500,-76.5000,Top,0.0000
C18,196.6375,-59.9962,Top,0.0000
C19,190.2000,-62.6000,Top,0.0000
C20,192.9500,-79.5500,Top,0.0000
C21,196.6500,-62.4162,Top,0.0000
D1,156.5000,-86.7500,Top,0.0000
FB1,164.8000,-68.9000,Top,0.0000
FID1,152.2500,-89.5000,Top,0.0000
FID2,199.3500,-89.5000,Top,0.0000
FID3,151.5000,-52.2500,Top,0.0000
J1,147.5000,-73.0000,Top,-90.0000
J2,168.2500,-77.4600,Top,0.0000
J4,209.0000,-69.0000,Top,-90.0000
J5,208.7500,-56.2500,Top,-90.0000
J6,208.5000,-82.5000,Top,-90.0000
R1,178.0000,-80.0000,Top,0.0000
R2,156.5000,-84.2500,Top,0.0000
R3,177.1650,-56.9000,Top,-90.0000
R4,174.6650,-56.9000,Top,90.0000
R8,156.0000,-69.0000,Top,0.0000
R9,155.0100,-78.2400,Top,0.0000
R11,182.5000,-60.7500,Top,0.0000
R12,187.3500,-74.4500,Top,180.0000
R14,187.0000,-63.5000,Top,-90.0000
SW1,178.0000,-87.0000,Top,0.0000
U1,163.2000,-72.9775,Top,0.0000
U2,178.0000,-72.5000,Top,180.0000
U3,197.3000,-78.9500,Top,90.0000
U4,194.5500,-66.1000,Top,180.0000
U5,196.2000,-54.7000,Top,180.0000
U6,150.7000,-63.6375,Top,90.0000
VR1,196.0403,-71.2747,Top,90.0000
VR2,189.5000,-56.4500,Top,180.0000
VR4,193.8500,-86.6000,Top,0.0000
Y1,183.5900,-78.3900,Top,0.0000
