Ref,Val,Package,PosX (mm),PosY (mm),Rotation (deg),Side
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.2500,-79.5000,-90.0000,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.2500,-64.0000,90.0000,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.2500,-64.0375,90.0000,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.0000,-64.0000,90.0000,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,172.7500,-64.0000,90.0000,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,178.0000,-63.9625,90.0000,top
C7,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.9500,-68.2000,180.0000,top
C8,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,169.9875,-70.4500,180.0000,top
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,154.6824,-63.7500,90.0000,top
C11,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.0000,-59.9000,0.0000,top
C12,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,164.7500,-64.0000,90.0000,top
C13,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,188.0000,-71.7500,0.0000,top
C14,10p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,187.5000,-80.2500,-90.0000,top
C15,10p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,184.7500,-83.5000,0.0000,top
C16,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,182.5000,-58.2500,0.0000,top
C17,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,191.1500,-76.5000,0.0000,top
C18,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,196.6375,-59.9962,0.0000,top
C19,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,190.2000,-62.6000,0.0000,top
C20,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.9500,-79.5500,0.0000,top
C21,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,196.6500,-62.4162,0.0000,top
D1,RED,D_0805_2012Metric,156.5000,-86.7500,0.0000,top
FB1,120R,BLM21AG102BH1J,164.8000,-68.9000,0.0000,top
FID1,Fiducial,Fiducial_0.5mm_Mask2mm,152.2500,-89.5000,0.0000,top
FID2,Fiducial,Fiducial_0.5mm_Mask2mm,199.3500,-89.5000,0.0000,top
FID3,Fiducial,Fiducial_0.5mm_Mask2mm,151.5000,-52.2500,0.0000,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,147.5000,-73.0000,-90.0000,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,168.2500,-77.4600,0.0000,top
J4,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,209.0000,-69.0000,-90.0000,top
J5,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,208.7500,-56.2500,-90.0000,top
J6,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,208.5000,-82.5000,-90.0000,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.0000,-80.0000,0.0000,top
R2,1k5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.5000,-84.2500,0.0000,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,177.1650,-56.9000,-90.0000,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.6650,-56.9000,90.0000,top
R8,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,156.0000,-69.0000,0.0000,top
R9,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.0100,-78.2400,0.0000,top
R11,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,182.5000,-60.7500,0.0000,top
R12,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,187.3500,-74.4500,180.0000,top
R14,3.3k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,187.0000,-63.5000,-90.0000,top
SW1,SW_SPDT,SW_SPDT_CK_JS102011SAQN,178.0000,-87.0000,0.0000,top
U1,USBLC6-2SC6,SOT-23-6,163.2000,-72.9775,0.0000,top
U2,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,178.0000,-72.5000,180.0000,top
U3,INA333xxDGK,VSSOP-8_3x3mm_P0.65mm,197.3000,-78.9500,90.0000,top
U4,INA333xxDGK,VSSOP-8_3x3mm_P0.65mm,194.5500,-66.1000,180.0000,top
U5,INA333xxDGK,VSSOP-8_3x3mm_P0.65mm,196.2000,-54.7000,180.0000,top
U6,MIC5504-3.3YM5,SOT-23-5,150.7000,-63.6375,90.0000,top
VR1,3314G-1-101E,3314G-1,196.0403,-71.2747,90.0000,top
VR2,3314G-1-101E,3314G-1,189.5000,-56.4500,180.0000,top
VR4,3314G-1-101E,3314G-1,193.8500,-86.6000,0.0000,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,183.5900,-78.3900,0.0000,top
